chunk1,chunk2,vector
in riding gear,in riding gear,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A small bird,A small bird,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a tiny branch,on an icy branch,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
a wheelie,a wheelie,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
performing,performing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man,Motorcyclist,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the brown horse,on a brown horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The young rider,A young female rider,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
to wood,against a wooden box,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
with nose,with its nose,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Little white lamb,A white lamb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,is riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a white and gray horse,a white and gray horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A young girl,a little girl,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in the water,on the water,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is flapping,flapping,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bird,A black swan,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
its wings,its wings,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Young woman,The woman,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on top,on the brown horse,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in riding gear,is riding,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
rowing,row,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
down a river,in water,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Four people,Four people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A kitchen,Kitchen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with wooden cabinets and furniture,with wooden table and cabinets,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
from a bird feeder,on a bird feeder,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bird,A yellow bird,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
eating,eating,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
talking,talking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of a plane,in front of a small plane,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Two men,Two men,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
wearing,wearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A young blonde girl,A young girl,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
a smile and a bicycle helmet,a bike helmet,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
at the train station,at a train station,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The train,A train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sits,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
eating,eating,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A small bird,Bird,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
from the feeder,from a bird feeder,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two brown horses,Brown horse,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in grassy field,in middle,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is perched,perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A red bird,A small red and gray bird,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
in a tree,in a tree,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on couch,on a sofa,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Boy,A small boy,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
lying,laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with small white dog,with a dog,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
traveling,traveling,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the railroad tracks,on the railroad tracks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A green steam engine,A black steam train,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
The man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of the train,in front of a silver train,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
poses,stands,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
A kitchen sink and countertop,A small kitchen,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
on shelves,on the shelves and on the counter,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
with bowls,with items,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
a bicycle,a mountain bike,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
riding,riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,A women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a large concrete area,on a large concrete area,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
next to a yellow sports car,next to a yellow Corvette,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
is standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a white horse,a white horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,A woman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Older gentleman,A man,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at red motorcycle,at a red motorcycle,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of a train,in front of a silver train,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
stands,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
near a small plane,a small airplane,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A boat,A boat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the water,in the water,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,pose,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
around a table,around a dining table,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of elderly people,of elderly people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The brown and white cows,Brown and white cows,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the trough,from a trough,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are eating,are eating,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
towards a wooden telephone pole,above the telephone wires,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Two green birds,Two green birds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
fly,flying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
stands,is standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of a `` Going Places '' bus,in front of the open door,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
A young woman,TThe girl,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
perched,is perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a gloved hand,'s gloved hand,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A blue bird,A bird,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A baby,A baby,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a ketchup packet,a ketchup packet,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
holds,holds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the sofa,on the back,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
sitting,sit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking out,looking out,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the window,the window,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two cats,Two cats,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a field,in a field,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A dark brown horse,Horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on a sidewalk,on the sidewalk,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A blue scooter,A blue moped,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A black and white cat,A black and white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Three people,Two elderly women,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
sitting,sit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at dinner table,at a dinner table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
traveling,is,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on the street,on the street,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A white and red bus,The red bus,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in the water,in the water,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A large black bird,The birds,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
is sitting,are swimming,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
is sitting,is standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on boat,A wooden yacht,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
on the water,on the ocean,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
The television and desk,A television and a laptop computer,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
of hotel room,on in a hotel room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,A person,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
wearing,wearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A close-up picture,A close-up picture,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two women,A woman,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
with a baby,with a baby,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
posing,poses,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
inside a train station,at the train station,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two trains,The train,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A man and two women,A man and women,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
while sitting,while standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
smiling,smiling,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a bright room,in a living room,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"A television , upholstered chair , and coffee stable",A leather couch and wooden table,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Tan cow,sheep,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on a grassy field,in grassy field,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A close-up,A close-up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bay foal,of young horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
is walking,walking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
next to its mother,next to a larger horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A small child,A small child,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of a building,in front of a dining room,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
A woman,Two women and a baby,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
stands,pose,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
on table,on the table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Young baby girl,with a smiling baby,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
A black and white cow,Black and white cows,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a pen,behind a fence,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
for the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,sitting,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A black and white horned cow,of a cat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
at a restaurant table,around a table,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a field,in a green field,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
is sitting,sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
The cat,Two eagles,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
is looking up,looking,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The black and white cat,A black and white dog,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a bottle,A bottle,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
atop a rock carving,on a stone,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
of the yard,in the field,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
sits,standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A lone cow,a black and white cow,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A girl,A girl,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the background,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two brown horses,A brown horse,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a green meadow,in tall grass,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in the snow,on the snow,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,stand,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A red bird and four other birds,Five birds,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at the dinner table,around a dining table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
poses,pose,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
An older Asian couple,A group,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
with a pillow,on an animal print blanket,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
A cat,The cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sleeping,is laying,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
driving,driving,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Cars,Vehicles,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
near a model building,infant of an ornate building,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
A young woman,A man,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
a Bay hose,at a horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A woman,Four women and two men,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
at the dining table,at a long table,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A man,A woman,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
a white horse,a white horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,leading,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
laying,laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A white cat,A white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two men,Two women,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,A man,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
a white horse,on a white horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a brown horse,brown horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,Person,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
A passenger train,A passenger train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the tracks,on train tracks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black train,A long train,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a living room,in a living room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Blue couch and twin bed,A leather couch and wooden table,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A white leather couch,A television,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Two buses,Yellow scooter,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on a street,in an alley way,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,is sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A woman,A man,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
up,up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a baby,a baby,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
above her,above him,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
holding,holding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the floor,on the floor,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is laying down,is laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sleeping,laying,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A black and white cat,A black and white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two women,Two women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A yellow and black bird,A flock,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
in afield,in a field,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sheep,next to a sheep,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black and white photo,A black and white photo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Black bird,Blue bird,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Several people,People,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on motorcycles,mopeds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a market square,in an urban setting,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Domestic cat,Tan domestic cat,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking up,looking up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A small cat,The small dog,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
look,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Tan cows,A white and gray cat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A battery to a bulb,the bulb and the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
should connect,are,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
in a closed path.,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,is connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to the battery terminal.,to the negative battery terminal,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
thebulb terminal,terminal 1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in a closed path,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Bulb A and C,Bulbs A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with the battery,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
will be contained,are,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
the voltage,different electrical states,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
of the battery.,A battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to the battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a closed path,in the same closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
from terminal 1 and 2,Terminals 1 and 2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
between any two terminals.,"Terminals 1, 2 and 3","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
within closed paths,in a closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
are contained,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulb A and B,bulbs A and B,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a path,in the same path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
"bulbs a, b, and c",A and C,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
were,are,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
on closed paths,in closed paths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
contained,contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulbs A and C,Bulbs A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with the batery,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Terminal five to the positive battery terminal.,Terminal 5 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
electricity,different electrical states,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
the battery,A battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
terminal 1 to the positive terminal,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are separated,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
contained,are not,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"""bulb A""""s path switch Z""",Switch Y and bulb A in the same closed path,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"in an open path,",in a closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
was,was not,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
